Student.Id,Campus,Age,Work.Experience,Owns.Car,Height
1000128,BBY,17,4.5,TRUE,186
1001068,BBY,27,1.5,FALSE,170
1001308,BBY,17,0,FALSE,169
1005934,BBY,23,3,FALSE,191
1006400,BBY,25,4.5,TRUE,191
1008213,BBY,23,4.5,FALSE,155
1009224,DTC,24,2,TRUE,146
1009744,BBY,23,0,FALSE,174
1009929,BBY,33,7,TRUE,158
1010790,BBY,17,0,TRUE,149
1010882,DTC,18,0,FALSE,159
1019655,BBY,23,4.5,FALSE,204
1020814,BBY,17,0,TRUE,201
1023018,BBY,31,6,FALSE,150
1023308,DTC,30,4.5,FALSE,157
1025392,BBY,26,4,FALSE,184
1026734,BBY,24,1,TRUE,159
1032660,DTC,26,5.5,TRUE,182
1032760,DTC,25,4,TRUE,170
1033571,DTC,17,2,TRUE,178
1034022,BBY,25,2.5,TRUE,198
1034369,BBY,18,0.5,TRUE,183
1034954,BBY,29,3.5,FALSE,171
1035218,DTC,23,0,TRUE,182
1036868,BBY,19,0,FALSE,168
1038596,DTC,21,3.5,TRUE,171
1043774,BBY,23,2.5,TRUE,184
1046054,BBY,22,2.5,TRUE,162
1046609,BBY,23,1,FALSE,151
1047879,DTC,24,0.5,TRUE,182
1048773,BBY,17,0,TRUE,161
1049523,BBY,25,0,FALSE,153
1051265,BBY,20,0,FALSE,172
1052086,BBY,27,2,FALSE,168
1052699,DTC,22,2,FALSE,158
1053744,BBY,20,0,FALSE,159
1058999,BBY,20,1,FALSE,160
1062444,DTC,25,1,TRUE,185
1062618,BBY,32,5,FALSE,158
1064272,DTC,20,0,FALSE,179
1067000,BBY,17,1,FALSE,192
1067006,BBY,22,2.5,TRUE,162
1070118,DTC,26,2.5,TRUE,173
1070297,DTC,21,0,FALSE,199
1071713,DTC,19,4,FALSE,157
1072600,BBY,27,0,FALSE,181
1073321,DTC,22,1.5,FALSE,204
1074361,BBY,30,5,FALSE,164
1074622,DTC,22,0,TRUE,156
1075114,BBY,19,0,FALSE,159
1078308,DTC,20,0,FALSE,168
1079629,DTC,19,0,TRUE,176
1080857,BBY,18,0,FALSE,177
1082413,DTC,26,3.5,FALSE,161
1082647,BBY,20,1.5,FALSE,208
1083669,DTC,28,3,FALSE,188
1088404,DTC,26,3,FALSE,183
1091340,DTC,18,1,FALSE,156
1092145,BBY,31,6,TRUE,167
1094959,BBY,31,7,FALSE,152
1097614,DTC,24,6,TRUE,185
1101604,BBY,34,9,FALSE,182
1102589,BBY,22,2.5,TRUE,145
1105880,DTC,23,1,FALSE,178
1106455,BBY,22,0,FALSE,188
1108180,DTC,19,0,FALSE,164
1109658,BBY,32,5.5,FALSE,178
1112033,DTC,25,0,FALSE,184
1115667,DTC,21,0.5,FALSE,166
1118499,BBY,17,0,FALSE,161
1120479,DTC,27,5,FALSE,164
1120531,BBY,27,2,TRUE,164
1121975,DTC,25,4,FALSE,164
1122093,DTC,22,0,FALSE,182
1122439,BBY,25,8,FALSE,177
1122491,BBY,23,0,TRUE,177
1124645,DTC,24,0,FALSE,162
1126958,BBY,21,0,FALSE,140
1129453,DTC,28,5.5,TRUE,171
1129943,DTC,20,2,FALSE,197
1131950,BBY,17,6,FALSE,164
1132621,BBY,26,4.5,TRUE,185
1135894,DTC,20,0,FALSE,152
1135971,BBY,28,3.5,TRUE,162
1138396,BBY,26,6,TRUE,181
1140073,DTC,25,4.5,FALSE,165
1140210,BBY,24,3.5,TRUE,175
1141273,DTC,21,0,TRUE,169
1145406,BBY,33,5.5,FALSE,189
1146707,DTC,23,2.5,FALSE,153
1147971,BBY,20,0.5,TRUE,159
1153073,BBY,29,8.5,TRUE,148
1154758,BBY,23,0,FALSE,147
1155185,BBY,22,0,TRUE,183
1156005,DTC,26,3.5,FALSE,204
1162855,DTC,23,3.5,TRUE,177
1163308,DTC,24,1.5,FALSE,171
1164806,DTC,21,0,TRUE,170
1165999,BBY,24,1.5,FALSE,177
1167806,BBY,26,3.5,TRUE,177
1168047,BBY,27,6,TRUE,156
1170892,BBY,18,1.5,TRUE,189
1175110,BBY,21,2,FALSE,196
1176388,DTC,25,2,FALSE,172
1179795,DTC,20,2.5,FALSE,189
1184806,DTC,23,0,FALSE,169
1185011,BBY,25,6,TRUE,165
1186000,DTC,28,3.5,TRUE,193
1186626,BBY,21,0,TRUE,200
1186726,BBY,25,3.5,FALSE,174
1187356,DTC,23,2,FALSE,171
1187606,BBY,24,6.5,FALSE,180
1189025,BBY,28,0.5,FALSE,167
1196487,BBY,19,2,FALSE,159
1198770,BBY,25,0,TRUE,183
1200228,BBY,32,6,TRUE,157
1200614,DTC,18,0,FALSE,161
1200964,DTC,20,0,FALSE,169
1202130,BBY,29,6.5,FALSE,154
1202988,DTC,21,1.5,FALSE,180
1205766,DTC,27,8,TRUE,158
1206377,BBY,31,5,TRUE,186
1209004,BBY,26,4,FALSE,193
1216549,BBY,25,3.5,FALSE,173
1217340,DTC,18,1,TRUE,186
1222916,DTC,22,2.5,FALSE,173
1224697,DTC,22,0,FALSE,159
1225058,DTC,19,0,TRUE,174
1225994,BBY,19,1.5,FALSE,186
1226729,DTC,28,7.5,TRUE,184
1232159,BBY,28,0.5,FALSE,188
1233260,DTC,25,2.5,TRUE,188
1234240,BBY,22,0.5,FALSE,172
1235793,BBY,27,7,FALSE,157
1245833,BBY,25,4.5,FALSE,162
1246187,DTC,17,0,FALSE,198
1246796,DTC,22,2.5,TRUE,173
1247528,BBY,33,4,TRUE,137
